trackID, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence
0VZEHM4h252BGh5P0N7MS5, 0.506, 0.718, 0.9922527451700044, 0.106, 0.117, 0.179, 0.121, 0.684
1JyJl8Owr9tN7MbIaMlbmq, 0.635, 0.561, 0.9945156725403155, 0.0394, 0.26, 0, 0.265, 0.445
7cyKrN1y4q59bc1gJX3QEG, 0.532, 0.832, 0.9948520628941824, 0.0535, 0.0652, 0, 0.766, 0.314
7up5MwPUHQdv4DkzQRHRWP, 0.381, 0.528, 0.9942012057940325, 0.0449, 0.102, 0, 0.269, 0.256
5jAvbp8kEnRPToi4Bzcvzt, 0.578, 0.631, 0.9945293747950553, 0.309, 0.0243, 0, 0.0665, 0.716
2wknuokNRAnUPoNmYe0shu, 0.576, 0.445, 0.9921568293868245, 0.223, 0.282, 0, 0.7, 0.612
0tkHEaz9WthSFT5InmHnoo, 0.622, 0.208, 0.9887696320150967, 0.0313, 0.901, 3.73e-06, 0.123, 0.362
03jaD8yizTrRPD4KPB2dZ5, 0.447, 0.69, 0.9943820755566004, 0.0673, 0.0188, 0.613, 0.264, 0.646
15855tKP69JcAQuOtezooy, 0.728, 0.674, 0.9929508750490075, 0.273, 0.155, 0.353, 0.236, 0.966
6brl7bwOHmGFkNw3MBqssT, 0.452, 0.574, 0.9932838398391896, 0.31, 0.246, 0, 0.189, 0.58
6m59VvDUi0UQsB2eZ9wVbH, 0.84, 0.56, 0.9917807024942116, 0.21, 0.00195, 0.00417, 0.633, 0.775
2jGjNCH6Op0BqBHPc4Rd8d, 0.385, 0.473, 0.9930646037633496, 0.0519, 0.575, 2.88e-05, 0.13, 0.0575
0LLsvPLHxlUk1x8r77H2b6, 0.758, 0.613, 0.9956714577276343, 0.37, 0.245, 4.36e-05, 0.111, 0.491
5nU7dvOfzYs9QVVL7YVNPE, 0.531, 0.198, 0.9881626221301147, 0.039, 0.952, 0.00267, 0.119, 0.437
0Q7bQszd9Lr699WS2Uo9aq, 0.45, 0.515, 0.9925356967303856, 0.227, 0.919, 0.00246, 0.162, 0.719
6nLvaCZFR1wEzW3sIKpsnr, 0.772, 0.371, 0.9950603371662302, 0.0348, 0.744, 0, 0.167, 0.684
5ueSa5lvfV2MPJq8paNUCq, 0.699, 0.21, 0.9892128999559356, 0.0355, 0.233, 0.623, 0.108, 0.159
