genreID, genreName
947, second line
948, street band
949, reggae rock
950, balearic
951, oud
952, jangle pop
953, power pop
954, hawaiian
955, chicago bop
956, chicago drill
957, modern southern rock
958, roots americana
959, underground power pop
960, liverpool indie
961, psychedelic folk rock
962, no wave
963, alabama indie
964, multidisciplinary
965, opm
966, pinoy indie
967, pinoy reggae
968, pinoy rock
969, wisconsin indie
970, jazz boom bap
971, instrumental stoner rock
972, japanese psychedelic rock
973, palestinian pop
974, palestinian traditional
975, bolero mexicano
976, experimental jazz
977, glitch pop
978, vapor pop
979, boston folk
980, country road
981, lo-fi jazzhop
982, german techno
983, nashville singer-songwriter
984, progressive bluegrass
985, surf music
986, peruvian indie
987, ccm
988, christian alternative rock
989, christian music
990, worship
991, classic canadian rock
992, garage rock revival
993, american contemporary classical
994, contemporary classical
995, somali pop
996, braindance
997, uk experimental electronic
998, indie dream pop
999, memphis indie
1000, ambeat
1001, pop reggaeton
1002, reggaeton
1003, alternative pop
1004, australian alternative pop
1005, musica popular mineira
1006, manguebeat
1007, samba-rock
1008, soul flow
1009, abstract
1010, drill and bass
1011, dub techno
1012, black punk
1013, detroit rock
1014, aussietronica
1015, newcastle indie
1016, indonesian jazz
1017, indonesian pop
1018, french post-punk
1019, anglican liturgy
1020, early music
1021, english renaissance
1022, renaissance
1023, american folk revival
1024, old-time
1025, protest folk
1026, electroclash
1027, deathrock
1028, egyptian alternative
1029, puerto rican indie
1030, classic j-pop
1031, boston hip hop
1032, dutch indie
1033, icelandic rock
1034, background music
1035, chill out
1036, nashville americana
1037, virginia indie
1038, abstract hip hop
1039, st louis rap
1040, bounce
1041, native american
1042, danish pop
1043, tennessee experimental
1044, cyberpunk
1045, bronx hip hop
1046, deep punk rock
1047, pennsylvania hardcore
1048, hamburg hip hop
1049, celtic rock
1050, alte
1051, industrial
1052, synth punk
1053, experimental vocal
1054, icelandic pop
1055, icelandic singer-songwriter
1056, brazilian hip hop
1057, moombahton
1058, ninja
1059, irish pop
1060, detroit trap
1061, gypsy jazz
1062, japanese vgm
1063, otacore
1064, sound team
1065, classic opm
1066, rap conscient
1067, detroit house
1068, detroit techno
1069, techno
1070, psychedelic jazz fusion
1071, grand rapids indie
1072, twee pop
1073, asbury park indie
1074, stomp and whittle
1075, english indie rock
1076, british experimental
1077, sacramento indie
1078, kc indie
1079, canadian folk
1080, modern indie folk
1081, newfoundland indie
1082, manitoba indie
1083, lancaster pa indie
1084, australian garage punk
1085, ambient worship
1086, vintage schlager
1087, classical tenor
1088, italian tenor
1089, michigan folk
1090, michigan indie
1091, indie cordoba
1092, big beat
1093, oc rap
1094, rap latina
1095, swancore
1096, melodic hardcore
1097, dutch r&b
1098, bass trap
1099, el paso indie
1100, anthem emo
1101, diy emo
1102, canadian pop punk
1103, canadian punk
1104, nu metal
1105, post-grunge
1106, rap metal
1107, reading indie
1108, socal pop punk
1109, slc indie
1110, danish alternative rock
1111, danish post-punk
1112, australian rock
1113, south african alternative
1114, supergroup
1115, sinogaze
1116, funk metal
1117, math pop
1118, mexican classic rock
1119, japanese garage rock
1120, jam band
1121, minimal techno
1122, happy hardcore
1123, melodic techno
1124, organic electronic
1125, persian alternative
1126, deep euro house
1127, organic house
1128, minimal melodic techno
1129, ethnotronica
1130, classic korean pop
1131, korean singer-songwriter
1132, danish indie pop
1133, australian dance
1134, dc hardcore
1135, post-hardcore
1136, french psychedelic
1137, british electroacoustic
1138, british soundtrack
1139, italian opera
1140, italian romanticism
1141, late romantic era
1142, banjo
1143, country blues
1144, rock keyboard
1145, kundiman
